mpnn,bb,seq,count,B1,B2,B3
v7,19,5,0,0,0,0
v7,19,6,0,0,0,0
v7,19,7,4,2,2,0
v7,19,8,2,1,0,1
v7,19,9,3,2,0,1
v7,20,0,1,0,1,0
v7,20,1,3,2,0,1
v7,20,2,1,1,0,0
v7,20,3,2,0,1,1
v7,20,4,1,0,1,0
v7,20,5,0,0,0,0
v7,20,6,1,1,0,0
v7,20,7,0,0,0,0
v7,20,8,0,0,0,0
v7,20,9,0,0,0,0
v7,21,0,2,1,0,1
v7,21,1,0,0,0,0
v7,21,2,1,1,0,0
v7,21,3,0,0,0,0
v7,21,4,1,1,0,0
v7,21,5,1,0,0,1
v7,21,6,1,0,1,0
v7,21,7,0,0,0,0
v7,21,8,0,0,0,0
v7,21,9,0,0,0,0
v7,22,0,0,0,0,0
v7,22,1,0,0,0,0
v7,22,2,3,2,1,0
v7,22,3,0,0,0,0
v7,22,4,0,0,0,0
v7,22,5,2,0,2,0
v7,22,6,0,0,0,0
v7,22,7,0,0,0,0
v7,22,8,0,0,0,0
v7,22,9,0,0,0,0
v7,23,0,1,0,1,0
v7,23,1,0,0,0,0
v7,23,2,2,1,1,0
v7,23,3,1,1,0,0
v7,23,4,0,0,0,0
v7,23,5,2,0,2,0
v7,23,6,2,0,2,0
v7,23,7,0,0,0,0
v7,23,8,2,0,0,2
v7,23,9,1,1,0,0
v7,24,0,0,0,0,0
v7,24,1,1,1,0,0
v7,24,2,1,1,0,0
v7,24,3,1,0,0,1
v7,24,4,0,0,0,0
v7,24,5,0,0,0,0
v7,24,6,0,0,0,0
v7,24,7,1,1,0,0
v7,24,8,1,0,0,1
v7,24,9,0,0,0,0
v7,25,0,1,1,0,0
v7,25,1,1,1,0,0
v7,25,2,0,0,0,0
v7,25,3,1,0,1,0
v7,25,4,0,0,0,0
v7,25,5,2,1,0,1
v7,25,6,0,0,0,0
v7,25,7,2,0,2,0
v7,25,8,1,1,0,0
v7,25,9,1,0,1,0
v7,26,0,1,1,0,0
v7,26,1,0,0,0,0
v7,26,2,1,0,0,1
v7,26,3,1,1,0,0
v7,26,4,2,2,0,0
v7,26,5,3,2,0,1
v7,26,6,0,0,0,0
v7,26,7,0,0,0,0
v7,26,8,1,1,0,0
v7,26,9,0,0,0,0
v7,27,0,1,0,1,0
v7,27,1,1,1,0,0
v7,27,2,1,1,0,0
v7,27,3,1,0,1,0
v7,27,4,0,0,0,0
v7,27,5,0,0,0,0
v7,27,6,1,1,0,0
v7,27,7,2,2,0,0
v7,27,8,1,1,0,0
v7,27,9,1,1,0,0
v7,28,0,2,2,0,0
v7,28,1,2,2,0,0
v7,28,2,2,1,1,0
v7,28,3,0,0,0,0
v7,28,4,2,2,0,0
v7,28,5,2,1,0,1
v7,28,6,0,0,0,0
v7,28,7,2,2,0,0
v7,28,8,0,0,0,0
