mpnn,bb,seq,count,B1,B2,B3
v2,19,5,0,0,0,0
v2,19,6,1,1,0,0
v2,19,7,0,0,0,0
v2,19,8,0,0,0,0
v2,19,9,0,0,0,0
v2,20,0,0,0,0,0
v2,20,1,0,0,0,0
v2,20,2,1,1,0,0
v2,20,3,0,0,0,0
v2,20,4,0,0,0,0
v2,20,5,0,0,0,0
v2,20,6,0,0,0,0
v2,20,7,0,0,0,0
v2,20,8,0,0,0,0
v2,20,9,0,0,0,0
v2,21,0,0,0,0,0
v2,21,1,0,0,0,0
v2,21,2,0,0,0,0
v2,21,3,0,0,0,0
v2,21,4,0,0,0,0
v2,21,5,0,0,0,0
v2,21,6,0,0,0,0
v2,21,7,0,0,0,0
v2,21,8,0,0,0,0
v2,21,9,0,0,0,0
v2,22,0,0,0,0,0
v2,22,1,1,1,0,0
v2,22,2,0,0,0,0
v2,22,3,0,0,0,0
v2,22,4,0,0,0,0
v2,22,5,2,2,0,0
v2,22,6,0,0,0,0
v2,22,7,0,0,0,0
v2,22,8,0,0,0,0
v2,22,9,0,0,0,0
v2,23,0,1,1,0,0
v2,23,1,0,0,0,0
v2,23,2,0,0,0,0
v2,23,3,0,0,0,0
v2,23,4,0,0,0,0
v2,23,5,0,0,0,0
v2,23,6,0,0,0,0
v2,23,7,0,0,0,0
v2,23,8,0,0,0,0
v2,23,9,0,0,0,0
v2,24,0,2,2,0,0
v2,24,1,0,0,0,0
v2,24,2,0,0,0,0
v2,24,3,0,0,0,0
v2,24,4,1,1,0,0
v2,24,5,1,1,0,0
v2,24,6,1,1,0,0
v2,24,7,1,1,0,0
v2,24,8,0,0,0,0
v2,24,9,0,0,0,0
v2,25,0,0,0,0,0
v2,25,1,0,0,0,0
v2,25,2,0,0,0,0
v2,25,3,0,0,0,0
v2,25,4,2,2,0,0
v2,25,5,0,0,0,0
v2,25,6,0,0,0,0
v2,25,7,0,0,0,0
v2,25,8,0,0,0,0
v2,25,9,0,0,0,0
v2,26,0,0,0,0,0
v2,26,1,0,0,0,0
v2,26,2,0,0,0,0
v2,26,3,2,2,0,0
v2,26,4,1,1,0,0
v2,26,5,0,0,0,0
v2,26,6,2,2,0,0
v2,26,7,0,0,0,0
v2,26,8,0,0,0,0
v2,26,9,1,1,0,0
v2,27,0,0,0,0,0
v2,27,1,0,0,0,0
v2,27,2,0,0,0,0
v2,27,3,0,0,0,0
v2,27,4,0,0,0,0
v2,27,5,0,0,0,0
v2,27,6,0,0,0,0
v2,27,7,0,0,0,0
v2,27,8,0,0,0,0
v2,27,9,0,0,0,0
v2,28,0,1,1,0,0
v2,28,1,0,0,0,0
v2,28,2,0,0,0,0
v2,28,3,0,0,0,0
v2,28,4,0,0,0,0
v2,28,5,0,0,0,0
v2,28,6,0,0,0,0
v2,28,7,0,0,0,0
v2,28,8,0,0,0,0
v2,28,9,0,0,0,0
v2,29,0,0,0,0,0
v2,29,1,0,0,0,0
